id,client_id,operator_id,module_id,started_at,completed_at,score,passed
1,534338b9-271a-458f-9585-53a478ef8dd1,OP01,TM-SAFE-03,2026-05-04T19:39:24Z,2026-05-04T19:50:06Z,74.93,true
2,93fac5e0-1533-4c80-93ca-27954b8a3243,OP01,TM-IDLE-01,2026-04-16T01:03:57Z,2026-04-16T01:16:10Z,98.6,true
3,ef014775-cc78-4d90-ae01-f0cee40b5fb4,OP02,TM-TRK-01,2026-04-18T01:42:02Z,2026-04-18T01:50:45Z,71.02,true
4,93178e00-08e1-410f-be68-243be0fb3ebc,OP02,TM-HYD-01,2026-05-28T12:46:11Z,,,
5,d8c3f3c5-f436-4c41-9b5a-5f1f6c4e5ae1,OP02,TM-SAFE-03,2026-05-14T17:16:53Z,2026-05-14T17:28:13Z,83.48,true
6,7f65c433-ab09-40cc-bd49-ef88f5f064d0,OP04,TM-SMTH-01,2026-05-10T16:14:28Z,2026-05-10T16:33:05Z,83.34,true
7,424841a0-7388-4b19-a955-93265920d527,OP04,TM-FUEL-01,2026-04-23T02:18:49Z,2026-04-23T02:34:03Z,88.9,true
8,328bfe17-3089-4d19-a233-98a3143357e1,OP05,TM-SMTH-01,2026-04-26T21:11:05Z,2026-04-26T21:34:39Z,51.69,false
9,97c35cda-2a12-43b4-80a7-de704ad8ba44,OP05,TM-SAFE-03,2026-04-21T07:04:36Z,2026-04-21T07:17:23Z,65.0,false
10,ff5bbaa0-a4e5-41b8-b369-436d4a906826,OP05,TM-FUEL-01,2026-05-07T06:06:35Z,2026-05-07T06:24:56Z,66.81,false
11,bebfc740-c3ba-449e-a6ac-2fe35e8c44ba,OP06,TM-EXC-01,2026-04-20T15:44:53Z,2026-04-20T16:49:18Z,56.6,false
12,4fb69168-33d4-4338-8b92-4c3acc004664,OP07,TM-FAT-01,2026-04-19T14:12:00Z,2026-04-19T14:23:30Z,68.13,false
13,aabe3eee-c518-4707-bfc6-a6f2b041afec,OP07,TM-EXC-01,2026-05-10T06:03:25Z,2026-05-10T07:59:35Z,63.85,false
14,0dee2ebc-d106-4199-a1e0-76397123efe8,OP08,TM-TRK-01,2026-05-21T23:51:05Z,2026-05-22T00:02:16Z,93.1,true
15,31af6092-9d44-4949-970e-b1ec6de7818e,OP08,TM-EXC-01,2026-05-04T15:27:44Z,2026-05-04T16:41:26Z,82.25,true
16,8bea06a2-ba66-453f-b6c5-ae26b0623067,OP09,TM-SAFE-03,2026-05-29T17:34:15Z,2026-05-29T17:45:01Z,81.41,true
17,11f33e5a-c343-44c6-8cc9-15808a89eed2,OP09,TM-FUEL-01,2026-04-06T08:28:34Z,2026-04-06T08:48:23Z,74.74,true
18,58baf6a9-f0fe-4de4-b860-6228246e4383,OP09,TM-TRK-01,2026-04-12T15:34:00Z,,,
19,76b4eb6f-4d0c-4074-b310-1b3095630d14,OP10,TM-FUEL-01,2026-05-17T02:56:53Z,2026-05-17T03:17:20Z,75.4,true
20,3a918e13-732b-44df-a3a4-5a870e2ed5bd,OP10,TM-SAFE-02,2026-05-08T03:28:22Z,2026-05-08T03:34:01Z,97.65,true
